Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
"C1, C12, C16, C2, C6, C7",0603,6,10u,
"C10, C11",0402,2,22p,
"C13, C14, C15, C17, C19, C21, C22, C23, C24, C26, C27, C29, C30, C31, C32, C4, C5, C9",0402,18,100n,
"C18, C20",0402,2,2.2p,
C25,0603,1,500n,
C28,0402,1,1n,
"C3, C8",0805,2,22u,
"D1, D2, D4, D5",0805,4,LED,C205445
D3,D_SOD-323,1,BAT60A,
D6,Osram_BPW34S-SMD,1,BPW34-SMD,
D7,D_SOD-323F,1,BAT54J,
"J1, J2, J3, J4, J6",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J7,PinHeader_2x08_P1.27mm_Vertical_SMD,1,Conn_02x08_Counter_Clockwise,
"L1, L2",0805,2,1u,
L3,1008,1,2.2u,
L4,0402,1,2.2n,
L5,0402,1,2.6n,
Q1,SOT-23,1,AO3401A,
R1,0603,1,1k,
"R10, R11",0402,2,1k,C163928
"R12, R17, R4, R5",0402,4,5.1k,
R13,0402,1,10,
"R14, R15, R16",0402,3,4.7k,
R18,0402,1,33k,
"R19, R24",0402,2,500,
R2,0603,1,5.1k,
R21,0603,1,0,
"R22, R25, R26",0402,3,10k,
R23,0402,1,1M,
R3,0805,1,0.3,
R6,0402,1,570k,
"R7, R9",0402,2,100k,
R8,0402,1,470k,
S1,Moisture_sensor_pads,1,~,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Boot,C115357
SW2,SW_Push_SPST_NO_Alps_SKRK,1,Reset,C115357
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,TSOT-23-6,1,TP4057,
U10,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,TCA9555RTWR,
U2,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,1,TPS61022,
U3,SOT-666,1,USBLC6-2P6,
U4,TSOT-23-6,1,LTC4412xS6,
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62172DSG,
U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3FH4X,
U7,SOT-23-5,1,OPA340NA,
U8,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U9,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
